Customer_ID|Customer_Name|Customer_Email|Customer_City|Customer_State|Customer_DOB
1662072568499|Jason Bailey|gravida.sit.amet@purusinmolestie.edu|Christchurch|South Island|2008-05-30
1687032184899|Jared Dominguez|commodo.hendrerit@atlibero.edu|Te Puke|NI|1971-10-22
1697092138599|Levi Moore|Quisque@Nulla.co.uk|Tokoroa|NI|1982-02-01
1628121106399|Rogan Roach|elementum@Nam.net|Picton|SI|2009-04-28
1653121260499|Asher Castaneda|aliquet.Phasellus@mauriselit.co.uk|Palmerston North|North Island|1977-09-16
1652071715399|Leonard Harrison|ullamcorper.Duis.cursus@aenim.edu|New Plymouth|North Island|1972-07-16
1617031458299|Wyatt Hess|scelerisque.sed.sapien@at.co.uk|Whangarei|NI|1973-03-28
1662071284199|Gareth Mcdonald|orci.Ut.sagittis@necligula.org|Morrinsville|North Island|1981-08-26
1650023097999|Brenden Blackburn|Donec.tempor@dui.co.uk|Dannevirke|North Island|1961-01-09
1694063033499|Fulton Pena|ante.dictum.mi@convallisincursus.com|Auckland|NI|1989-05-04
1640061856499|Reese Powell|nibh@cursus.com|Ashburton|SI|1992-05-09
1655071765599|Hakeem Russell|pede.sagittis@varius.ca|Auckland|North Island|2011-04-11
1640103090399|Edward Delaney|est@ipsumnon.net|Whangarei|North Island|1980-10-16
1685082159299|Jarrod Valdez|Duis@in.co.uk|Pukekohe|North Island|2007-10-08
1645011897499|Uriah Lee|nunc.nulla.vulputate@nulla.org|Matamata|NI|1979-07-15
1632060523699|Zachary Perry|at@Proinvelit.ca|Waiheke Island|North Island|1987-08-21
1604020703799|Quentin Garner|a.nunc.In@estNuncullamcorper.com|Rotorua|North Island|1961-07-25
1695032981399|Daniel Griffith|scelerisque.neque@Namconsequat.edu|Kapiti|North Island|1955-07-21
1696010747899|Lamar Cruz|mattis.ornare@ornareIn.edu|Nelson|South Island|1999-05-14
