Customer_ID|Customer_Name|Customer_Email|Customer_City|Customer_State|Customer_DOB
1655110936099|Elton Roach|Cras@arcu.ca|Subiaco|WA|1963-01-06
1675072779099|Burke Long|faucibus.orci@acsem.com|Melton|Victoria|2005-06-16
1688091364099|Marcia Dickson|magna.nec.quam@nostraperinceptos.edu|Wangaratta|Victoria|1978-11-27
1626022548099|Casey Lancaster|eget.laoreet.posuere@hendreritnequeIn.net|Stirling|Western Australia|1972-05-21
1609122036799|Rooney Osborne|ornare.elit@Duis.edu|Mount Isa|QLD|1998-09-02
1656030159899|Paki Banks|leo.elementum.sem@id.com|Campbelltown|NSW|2002-09-13
1626092147699|Alisa Keith|orci@dolorsit.org|Maryborough|Queensland|1989-08-26
1637082696099|Donovan Branch|leo@pellentesqueSed.ca|Sale|VIC|1998-04-23
1642022262099|Timothy Atkins|placerat.velit.Quisque@Fuscefeugiat.com|Whyalla|SA|1967-11-28
1608032726799|Sharon Whitfield|sapien.molestie.orci@urnaconvalliserat.edu|Mildura|VIC|2016-09-21
1615111826699|Florence Bryan|et.magna.Praesent@vitaesodalesnisi.edu|Rockingham|Western Australia|1963-02-02
1699082952599|Jescie Leon|quis@nullaIntegerurna.org|Toowoomba|Queensland|2007-01-02
1688062687399|Nicholas Gonzales|metus@tellusAeneanegestas.co.uk|Melbourne|Victoria|1968-01-12
1621022622799|Maile Gallagher|dictum.cursus.Nunc@fringillaornareplacerat.org|Belgrave|Victoria|1983-07-03
1684011460799|George Terry|neque.sed@ac.net|Port Pirie|South Australia|1997-09-06
1632120613599|Sylvester Sandoval|eu.enim@venenatisa.com|Victor Harbor|South Australia|1996-03-22
1641101921699|Farrah Quinn|eleifend.Cras@nibh.ca|Cairns|QLD|1978-05-29
1603101532299|Julian Hammond|vel.est@estmollis.co.uk|Palmerston|NT|1980-02-26
1646091225499|Kimberly Griffith|commodo@Vestibulumanteipsum.org|Mandurah|Western Australia|2010-06-18
1674112990199|Inez Grimes|dolor.Fusce.mi@et.net|Hervey Bay|Queensland|2020-06-17
1640042107799|Simon Bruce|Ut.semper.pretium@penatibus.edu|Devonport|Tasmania|1975-10-27
1669021274299|Victor Hughes|augue@loremlorem.com|Wagga Wagga|NSW|2008-05-21
1691110815599|Calvin Shannon|venenatis@sodalesat.org|Wodonga|Victoria|1965-10-10
1634111410699|Kuame Casey|nonummy@inmolestie.co.uk|Geraldton-Greenough|WA|1976-12-09
1630092881799|Renee Frye|ornare.elit.elit@diam.edu|Newcastle|NSW|1970-06-24
1689090683499|Ima Thomas|nonummy.ac@acfacilisisfacilisis.org|Sydney|New South Wales|2010-10-11
1680021235699|Keelie Lloyd|turpis.vitae.purus@penatibus.net|Bairnsdale|VIC|2002-05-03
1694121994499|Melanie Watson|Praesent.interdum.ligula@augueeu.net|Mount Gambier|SA|1999-04-06
1667092014699|Abbot Cotton|id@velitCraslorem.net|Melton|VIC|1960-12-12
1662052855099|Kaye Harvey|fringilla@elitNulla.net|Ipswich|QLD|1990-10-27
1640032360199|Darius Duke|pharetra@aliquetlobortisnisi.net|Bendigo|Victoria|1988-02-06
1677082308699|Quyn Dillard|aliquet.odio.Etiam@imperdietdictum.co.uk|Tamworth|New South Wales|2004-02-12
1678072216599|Chancellor Ross|Cras.pellentesque.Sed@etcommodoat.co.uk|Port Augusta|South Australia|1987-09-04
1656111788699|Gillian Watson|Maecenas@auguescelerisquemollis.net|Orange|New South Wales|1981-01-12
1664080588899|Calvin Schneider|est.arcu@tortorInteger.org|Albury|New South Wales|1980-02-09
1675041134599|Beck Rhodes|neque.venenatis@aliquamiaculis.edu|Ipswich|Queensland|1979-01-29
1671110750999|Jena Aguirre|Fusce.aliquet@Mauris.edu|Wollongong|NSW|1979-12-05
1602011047399|Nyssa Wilcox|vel.pede.blandit@sitamet.net|Hervey Bay|Queensland|1965-01-20
1687061622799|Ashely Daniel|In@atsem.co.uk|Logan City|Queensland|1991-04-05
1683082883299|Ocean Freeman|Proin.eget@euneque.com|Queanbeyan|New South Wales|2008-11-05
1660050842899|Teagan Becker|metus.sit.amet@parturientmontesnascetur.co.uk|Mount Isa|QLD|1981-12-13
1684120545799|Octavia Mcdaniel|Proin.sed.turpis@risusQuisque.ca|Gold Coast|QLD|1979-06-21
1642102135199|Meghan Williamson|parturient.montes.nascetur@etmagnis.com|Greater Hobart|TAS|1971-06-09
1694082293599|Karly Keller|orci.lobortis.augue@Integer.ca|Greater Hobart|TAS|2019-12-17
1682042425399|Amir Leon|elit@diamatpretium.com|Albury|NSW|1976-08-25
1673032104099|Fitzgerald Harper|at.nisi@DonectinciduntDonec.net|Cessnock|New South Wales|2017-08-02
1684110853899|Sandra Jensen|porta.elit.a@scelerisqueloremipsum.com|Port Augusta|SA|1982-05-22
1611032335899|Barry Juarez|Nunc.laoreet@Aliquamauctorvelit.com|Mount Isa|Queensland|1969-04-06
1650061894699|Jolie Brock|eu@arcu.net|Albany|Western Australia|1989-09-11
1644061929399|Graham Glass|leo@euismodet.edu|Albany|Western Australia|1979-04-10
1646050439999|Callum Graves|Sed@tinciduntnibhPhasellus.co.uk|Dubbo|New South Wales|2008-01-11
1634013037799|Gannon Glenn|sapien.Aenean@enim.com|Cessnock|New South Wales|1986-04-09
1667111084599|Cheyenne Glenn|dolor@ipsum.co.uk|Liverpool|New South Wales|1998-05-29
1636040638499|Caldwell Dennis|ultrices@Cumsociisnatoque.org|Tamworth|New South Wales|1985-04-19
1681100256899|Idola Pitts|lectus.pede@a.com|Queanbeyan|New South Wales|2001-05-16
1626051884899|Craig Dudley|ac@gravida.edu|Albury|NSW|1965-06-02
1605082610199|Reuben Rowe|tristique.senectus@Aeneaneget.ca|Benalla|VIC|2010-12-29
1618042063399|Jaime Mendez|justo.Praesent.luctus@rutrumFuscedolor.com|Launceston|TAS|1997-08-31
1699111927399|Astra Lindsay|Cras@egestas.edu|Armidale|NSW|1969-02-23
1626012017699|Maggie Lambert|Praesent.eu@orciUt.com|Traralgon|Victoria|1999-01-28
1696102209599|Melyssa Bowman|lobortis.nisi.nibh@eu.net|Gold Coast|Queensland|1990-12-07
1645062439399|Zoe Walls|nostra.per@odiosemper.org|Melton|Victoria|1966-09-27
1648081208799|Justine Martin|felis.Donec@pharetraQuisque.co.uk|Wagga Wagga|NSW|1990-09-29
1668122630699|Ryan Bush|mollis.dui@Donec.co.uk|Fremantle|Western Australia|1972-12-19
1623070662799|Ulysses Henderson|in@vestibulumloremsit.edu|Bathurst|New South Wales|1961-08-11
1657051571099|Karly Larsen|neque.Nullam@aaliquetvel.co.uk|Bathurst|New South Wales|2011-12-24
1668100165199|Bradley Massey|magna@adipiscing.net|Mackay|Queensland|1970-05-26
1665120760299|Colorado Palmer|pellentesque.a@venenatislacus.net|Goulburn|NSW|2007-02-05
1603122709599|Rahim Hutchinson|tellus@tempor.ca|Ballarat|Victoria|1969-11-29
1618112864199|Rylee West|laoreet.ipsum.Curabitur@quamdignissimpharetra.org|Mildura|Victoria|2018-10-05
1697100883499|Zeus Savage|est@ultrices.co.uk|Morwell|Victoria|1979-07-11
